       x;        y;       s;         m
 876.000;    391.0;     1.4;   6.336
 814.500;    393.0;     1.4;   5.965
 788.000;    394.5;     1.4;   7.383
 522.000;    398.0;     1.4;   5.560
 986.500;    398.0;     1.4;   5.044
 503.500;    399.5;     1.4;   5.809
 741.500;    400.0;     1.4;   6.166
 551.000;    401.0;     1.4;   5.501
 738.500;    401.0;     1.4;   6.892
 996.500;    401.0;     1.4;   7.301
 553.500;    401.5;     1.4;   5.229
 731.500;    403.0;     1.4;   5.485
 721.500;    404.5;     1.4;   5.785
 574.000;    405.0;     1.4;   9.357
1042.000;    406.5;     1.4;   7.846
 708.500;    410.5;     1.4;   6.215
 734.500;    414.5;     1.4;   5.109
 684.500;    419.5;     1.4;   6.080
1074.000;    420.5;     1.4;   7.912
1053.000;    422.5;     1.4;   5.063
 532.500;    425.0;     1.4;   5.599
 564.500;    427.0;     1.4;   6.164
 568.500;    427.5;     1.4;   6.139
 651.500;    432.0;     1.4;   5.800
 571.000;    433.0;     1.4;   5.830
 567.000;    434.0;     1.4;   6.605
 493.000;    439.0;     1.4;   6.260
 568.000;    439.0;     1.4;   7.511
 623.500;    446.0;     1.4;   5.083
 464.000;    454.5;     1.4;   7.304
1118.000;    460.5;     1.4;   5.167
1123.500;    465.5;     1.4;   5.424
 593.000;    466.0;     1.4;   5.945
1115.000;    467.0;     1.4;   5.162
1129.500;    468.5;     1.4;   8.328
 218.000;    470.5;     1.4;   5.087
 567.500;    471.0;     1.4;   6.256
 147.500;    472.0;     1.4;   5.301
1145.500;    480.0;     1.4;   6.903
 788.500;    481.5;     1.4;   5.113
 592.000;    482.5;     1.4;   5.969
1149.000;    487.0;     1.4;   6.896
1148.500;    491.0;     1.4;   6.250
1146.000;    491.5;     1.4;   9.018
 875.000;    492.5;     1.4;   5.161
 603.500;    494.0;     1.4;   6.110
1142.500;    494.5;     1.4;   7.228
 138.000;    495.0;     1.4;   6.132
 523.500;    497.0;     1.4;   5.935
 245.500;    498.5;     1.4;   9.337
 249.500;    498.5;     1.4;   6.947
 827.500;    498.5;     1.4;   5.419
 542.500;    499.5;     1.4;   5.552
 782.000;    500.0;     1.4;   5.469
1138.000;    501.0;     1.4;   6.996
 613.000;    503.5;     1.4;   7.963
 149.500;    504.5;     1.4;   5.682
 248.500;    505.0;     1.4;   6.613
1125.000;    506.0;     1.4;   8.410
 837.000;    508.5;     1.4;   5.074
1121.500;    509.0;     1.4;   9.790
 618.000;    509.5;     1.4;   7.403
 823.500;    510.0;     1.4;   5.372
 247.500;    510.5;     1.4;   7.209
1119.000;    512.5;     1.4;   6.367
1117.000;    514.0;     1.4;   5.598
 546.500;    528.0;     1.4;   5.881
1067.500;    535.0;     1.4;   7.287
1073.500;    535.5;     1.4;   7.032
 247.500;    536.5;     1.4;   6.189
1066.500;    536.5;     1.4;   7.058
1070.500;    537.0;     1.4;   5.643
1077.500;    537.5;     1.4;   5.924
1084.500;    538.5;     1.4;   6.362
1068.000;    539.0;     1.4;   8.193
1076.500;    539.0;     1.4;   7.282
1066.000;    539.5;     1.4;   7.213
1079.500;    539.5;     1.4;   7.563
1070.500;    540.5;     1.4;   7.340
1068.500;    541.0;     1.4;   6.147
1071.500;    543.0;     1.4;   7.717
1069.500;    543.5;     1.4;   7.289
1051.000;    544.0;     1.4;   6.014
1059.000;    544.5;     1.4;   7.523
1070.000;    544.5;     1.4;   7.395
1064.500;    545.0;     1.4;   7.895
1072.500;    545.0;     1.4;   7.027
1081.000;    545.5;     1.4;   8.438
1083.000;    545.5;     1.4;   7.643
1101.000;    546.0;     1.4;   6.107
1073.500;    547.5;     1.4;   5.620
1090.500;    547.5;     1.4;   5.773
1088.000;    548.0;     1.4;   5.409
 114.000;    549.0;     1.4;   5.312
1079.500;    549.5;     1.4;   6.924
1103.500;    549.5;     1.4;   6.295
 696.500;    553.0;     1.4;   5.797
1088.000;    553.5;     1.4;   5.733
1109.000;    554.5;     1.4;   5.841
  52.000;    555.5;     1.4;   5.944
 470.500;    556.5;     1.4;   5.077
1097.000;    557.5;     1.4;   5.231
  52.000;    558.0;     1.4;   6.286
1091.000;    558.0;     1.4;   5.121
 676.000;    559.0;     1.4;   5.767
 669.500;    559.5;     1.4;   5.245
 680.000;    560.0;     1.4;   5.028
  52.000;    564.0;     1.4;   5.530
1106.500;    565.5;     1.4;   6.894
1104.500;    566.0;     1.4;   5.170
 143.500;    568.5;     1.4;   5.363
 639.500;    571.5;     1.4;   5.424
1116.500;    573.0;     1.4;   5.249
 145.500;    575.0;     1.4;   6.538
1118.500;    577.5;     1.4;   6.237
1124.000;    581.0;     1.4;   5.178
 240.000;    586.5;     1.4;   5.691
 606.500;    588.0;     1.4;   6.462
1135.500;    589.0;     1.4;   8.568
1150.500;    598.5;     1.4;   5.571
1154.000;    600.5;     1.4;   6.167
 602.000;    601.0;     1.4;   7.381
 604.000;    602.0;     1.4;  10.195
1155.000;    603.0;     1.4;   8.352
1157.500;    603.0;     1.4;   6.864
 604.500;    605.0;     1.4;   8.881
1159.000;    605.0;     1.4;   5.602
 812.500;    606.0;     1.4;   5.245
 236.000;    608.5;     1.4;   6.439
 560.000;    609.0;     1.4;   9.242
1158.000;    613.5;     1.4;  10.891
 830.000;    615.5;     1.4;   5.077
 235.000;    616.0;     1.4;   6.986
 694.500;    617.5;     1.4;   5.846
 834.000;    620.0;     1.4;   5.525
 233.500;    623.0;     1.4;   6.809
 548.000;    626.5;     1.4;   6.058
 628.000;    627.5;     1.4;   9.777
 225.000;    628.5;     1.4;   5.748
 231.500;    629.5;     1.4;   7.272
 627.500;    629.5;     1.4;   6.493
 773.500;    630.0;     1.4;   5.522
 355.000;    631.0;     1.4;   5.837
 596.000;    637.5;     1.4;   6.537
1106.500;    640.0;     1.4;   8.170
 466.000;    645.5;     1.4;   6.179
 182.500;    646.0;     1.4;   7.047
 197.500;    646.0;     1.4;   9.252
1093.500;    647.5;     1.4;   7.501
1066.000;    653.0;     1.4;   5.764
 948.000;    653.5;     1.4;   7.245
1067.500;    655.0;     1.4;  10.235
1067.500;    657.0;     1.4;  10.336
 652.000;    659.5;     1.4;   5.690
 569.500;    661.5;     1.4;   5.336
 352.000;    673.5;     1.4;   6.075
 841.000;    685.5;     1.4;   7.394
 716.000;    688.5;     1.4;   5.016
 692.500;    689.5;     1.4;   5.238
 692.500;    692.0;     1.4;   5.534
 840.500;    693.0;     1.4;   6.687
 322.000;    695.0;     1.4;   5.259
 594.500;    702.5;     1.4;   5.478
 318.500;    703.0;     1.4;   6.281
 756.500;    706.5;     1.4;   5.023
 705.000;    707.5;     1.4;   5.044
 616.000;    708.0;     1.4;   5.395
 350.500;    710.5;     1.4;   5.033
 840.500;    712.5;     1.4;   5.899
 321.500;    713.5;     1.4;   5.521
 691.500;    717.0;     1.4;   5.265
 840.500;    719.5;     1.4;   5.729
 320.500;    720.0;     1.4;   5.504
 698.500;    725.0;     1.4;   5.496
 748.500;    725.0;     1.4;   5.441
 683.500;    725.5;     1.4;   5.268
 842.500;    725.5;     1.4;   5.121
 689.500;    726.0;     1.4;   5.117
 840.500;    727.5;     1.4;   5.931
 617.500;    730.5;     1.4;   5.232
 840.500;    731.5;     1.4;   7.202
 610.000;    732.0;     1.4;   5.431
 698.000;    732.5;     1.4;   5.702
 318.500;    734.0;     1.4;   6.321
 320.500;    734.5;     1.4;   5.825
 240.000;    735.5;     1.4;   5.441
 698.000;    736.5;     1.4;   5.281
 705.000;    736.5;     1.4;   5.258
 720.500;    737.5;     1.4;   5.439
 831.500;    744.0;     1.4;   5.598
 707.000;    745.5;     1.4;   5.038
 709.500;    746.5;     1.4;   5.435
 690.000;    747.0;     1.4;   5.391
 835.000;    750.5;     1.4;   5.649
 615.000;    751.5;     1.4;   5.091
 729.000;    751.5;     1.4;   5.467
 954.500;    752.0;     1.4;   5.229
 709.000;    752.5;     1.4;   5.238
 841.000;    754.0;     1.4;   7.007
